                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    127,                0.34177,                0.23475,                0.84293,                0.96924,                0.94925,                0.97269,                0.91565,                0.27706,                0.18292,                0.85659,              0.0038125,              0.0038125,              0.0038125
                    128,                 0.3575,                0.24408,                0.84792,                 0.9713,                0.94987,                0.97552,                0.91878,                0.28078,                0.18508,                0.85519,               0.003763,               0.003763,               0.003763
                    129,                 0.3528,                0.23997,                0.85025,                0.97687,                0.95476,                0.97501,                0.91914,                0.27519,                0.18065,                0.85314,              0.0037135,              0.0037135,              0.0037135
                    130,                0.35011,                 0.2374,                0.84631,                 0.9726,                0.95578,                 0.9725,                0.91868,                0.27606,                 0.1818,                0.85428,               0.003664,               0.003664,               0.003664
                    131,                 0.3425,                0.23188,                 0.8418,                0.97666,                0.95345,                0.97326,                0.91767,                0.26832,                0.17171,                0.85384,              0.0036145,              0.0036145,              0.0036145
                    132,                0.33869,                0.23152,                0.84148,                0.97567,                0.95462,                0.97366,                0.91996,                0.27494,                0.17929,                0.85532,               0.003565,               0.003565,               0.003565
                    133,                0.34292,                0.23263,                0.84347,                0.97798,                0.95203,                 0.9748,                0.91703,                0.27322,                0.17292,                0.85455,              0.0035155,              0.0035155,              0.0035155
                    134,                0.34764,                0.23472,                0.84418,                0.97814,                0.94716,                0.97368,                0.91586,                0.28092,                0.18052,                0.85513,               0.003466,               0.003466,               0.003466
                    135,                0.34135,                0.23399,                0.84233,                0.96742,                0.95733,                0.97278,                0.91279,                0.27861,                0.18157,                 0.8558,              0.0034165,              0.0034165,              0.0034165
                    136,                0.34589,                 0.2344,                0.84525,                0.97466,                0.94458,                0.97298,                0.91775,                0.27304,                0.18444,                0.85282,               0.003367,               0.003367,               0.003367
                    137,                0.32799,                0.22788,                0.83892,                0.97872,                0.94403,                0.97321,                0.91782,                0.28285,                 0.1859,                0.85467,              0.0033175,              0.0033175,              0.0033175
                    138,                0.34344,                0.23268,                0.84438,                0.97807,                0.94621,                0.97361,                0.92276,                 0.2692,                0.18084,                0.85064,               0.003268,               0.003268,               0.003268
                    139,                0.34982,                0.23737,                0.84349,                0.97892,                0.94962,                0.97383,                0.92103,                0.27497,                0.17799,                0.85134,              0.0032185,              0.0032185,              0.0032185
                    140,                0.33418,                0.22933,                 0.8404,                0.97581,                0.95263,                0.97357,                0.91813,                0.27305,                0.17776,                0.85227,               0.003169,               0.003169,               0.003169
                    141,                0.34909,                0.23597,                0.84741,                0.96785,                0.95857,                 0.9745,                0.91913,                0.28042,                0.17722,                0.85413,              0.0031195,              0.0031195,              0.0031195
                    142,                 0.3409,                0.23199,                0.84258,                0.97778,                0.95029,                0.97211,                0.91894,                0.27278,                0.17486,                0.85137,                0.00307,                0.00307,                0.00307
